127.0.0.1 - - [09/Apr/2021:18:29:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:29:55 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:29:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:30:32 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:30:33 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:30:33 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:31:17 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:31:18 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:31:40 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:31:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2021:18:31:46 +0900] "GET /exam01/index2.jsp HTTP/1.1" 200 1301
